"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Naa50",0.389154911778237,0.114538913717581,0.145,0.11,1
"Psmd4",0.389337754497681,0.215960644030663,0.41,0.385,1
"Mov10",0.389597230349365,-0.0300262962230518,0.08,0.11,1
"Paf1",0.389731110832277,-0.151116771527014,0.09,0.119,1
"Tshb",0.389797593754103,0.140660447014953,0.035,0.018,1
"Kctd11",0.389898470328904,0.0251575645252556,0.02,0.037,1
"Zscan12",0.389898470328904,-0.0496893138245277,0.02,0.037,1
"Simc1",0.389898470328904,-0.00204358175173705,0.02,0.037,1
"Zfp429",0.389898470328904,0.0376016944083016,0.02,0.037,1
"Emc1",0.389907558516202,-0.17556406173941,0.18,0.22,1
"Dusp11",0.389972417388672,-0.119070171074892,0.245,0.294,1
"Rpap3",0.390113898771811,-0.358698089245177,0.075,0.101,1
"Dclre1a",0.390163902624308,0.0923240065257716,0.07,0.046,1
"Zw10",0.390382447940679,0.0356983230272269,0.06,0.037,1
"Plekhf2",0.390599461034715,-0.167786083054114,0.13,0.165,1
"2310015A10Rik",0.390653632554332,-0.0783754046050584,0.05,0.073,1
"Pa2g4",0.390755052054806,0.327083919491361,0.21,0.183,1
"Gm10762",0.390797120755948,-0.0891363491940116,0.035,0.055,1
"Daglb",0.390797120755948,-0.0855897868274252,0.035,0.055,1
"2700046G09Rik",0.390797120755948,-0.140682342458912,0.035,0.055,1
"Ankrd10",0.390915941128939,-0.102115681860179,0.065,0.092,1
"Bcl2l13",0.391061456044096,0.159665272958334,0.055,0.083,1
"Drosha",0.391073618872393,-0.0900733577277802,0.08,0.11,1
"Xpo6",0.391136862393005,0.135504204863852,0.095,0.128,1
"Ccny",0.391141510389081,-0.113169285243512,0.09,0.119,1
"Spred1",0.391947118376199,0.0497946257620546,0.195,0.156,1
"Hexb",0.392254119786316,0.0162859444150182,0.115,0.083,1
"Lrfn4",0.392300081789436,0.024705920317243,0.06,0.037,1
"Eng",0.392324153215545,0.223264169765812,0.035,0.018,1
"B3gnt3",0.392468181279486,-0.0142286395137796,0.05,0.073,1
"Setdb1",0.392534927121474,-0.0443973295718332,0.065,0.092,1
"Crip2",0.392554984829267,-0.0264920654769849,0.785,0.862,1
"Virma",0.392555004823039,0.269287604972953,0.11,0.083,1
"Agbl5",0.392574647921913,0.084259245575272,0.02,0.037,1
"Gatc",0.392574647921913,0.0193652243294134,0.02,0.037,1
"Gpr146",0.392704816809438,0.156324952551099,0.13,0.174,1
"Rnasel",0.392915771924918,-0.14909372630658,0.035,0.055,1
"Tmem29",0.392915771924918,-0.0453672142319951,0.035,0.055,1
"Ccnq",0.393454483745043,0.17983468210251,0.08,0.055,1
"Mrps26",0.393688083612691,0.264136199062309,0.165,0.138,1
"Tulp4",0.39380026942498,-0.312048372304413,0.235,0.275,1
"Spg7",0.394028768148928,-0.222249169242568,0.18,0.138,1
"Rilp",0.394036376497225,0.101381444184437,0.08,0.11,1
"Ruvbl1",0.394036570438447,0.0529146639586276,0.08,0.11,1
"Exoc2",0.394036570438447,-0.0510692913646238,0.08,0.11,1
"Snhg6",0.394157971615457,-0.0393404083063509,0.065,0.092,1
"Nradd",0.394157971615457,0.0155987782044464,0.065,0.092,1
"Haus1",0.394223417097924,0.0514484240930328,0.06,0.037,1
"Bfar",0.394702307661289,0.0157067029455278,0.135,0.174,1
"Dpp9",0.394709728366029,-0.155545972069532,0.075,0.101,1
"Dnajc19",0.394774572198151,0.338106809263822,0.195,0.165,1
"Stx2",0.394860618393079,0.193633678649263,0.035,0.018,1
"Tmem192",0.394910364396822,-0.00291217461294402,0.105,0.073,1
"Cdkn1c",0.395041368986341,0.00672748520920655,0.035,0.055,1
"Net1",0.395041368986341,-0.0608397559411169,0.035,0.055,1
"Cdc25a",0.395261931525245,0.0104085796456066,0.02,0.037,1
"Lamtor5",0.395376375850361,0.340614091789034,0.275,0.248,1
"Ecscr",0.395481431900075,0.23917172687811,0.07,0.046,1
"Psmd1",0.395734464769939,-0.0868114695090066,0.26,0.312,1
"Laptm4b",0.395820471280299,-0.0139044854396388,0.195,0.239,1
"Sdc4",0.395884172763389,0.00718670632988805,0.355,0.45,1
"Dtnb",0.396112576383943,0.0433081546250502,0.05,0.073,1
"Ppp2r5e",0.396320240845275,0.117493247931261,0.15,0.193,1
"5430405H02Rik",0.396375437372202,-0.123076547679426,0.085,0.11,1
"Trim33",0.396485185321992,-0.142358539578659,0.105,0.138,1
"Nucb2",0.396659693038545,0.0742203348389955,0.125,0.092,1
"Ugcg",0.396777033604487,0.0696727527481794,0.08,0.055,1
"4933434E20Rik",0.396788269300401,-0.000306407196630887,0.165,0.202,1
"Mapk6",0.397013068914715,0.246305142239171,0.1,0.073,1
